Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1977.0,1500,1808
1,YCA,3020.0,3000,2730
1,YHB,4655.0,3928,3724
1,YJC,3061.0,3000,2614
1,YNC,3698.0,2868,2959
1,YSD,2131.0,2213,2185
2,Y0M,2007.0,1800,1683
2,YCA,2693.0,2100,2541
2,YHB,4198.0,3583,3466
2,YJC,3041.0,2700,2433
2,YNC,3442.0,2828,2754
2,YSD,1961.0,2174,2034
3,Y0M,2257.0,2000,1808
3,YCA,2597.0,2900,2730
3,YHB,4080.0,3402,3724
3,YJC,3070.0,1960,2614
3,YNC,3697.0,2976,2959
3,YSD,1709.0,2017,2185
4,Y0M,2417.0,2300,1936
4,YCA,2454.0,3200,3077
4,YHB,3323.0,3693,2660
4,YJC,2991.0,2067,2550
4,YNC,3102.0,2806,2895
4,YSD,2590.0,2203,2365
5,Y0M,2333.0,1500,1867
5,YCA,2392.0,3200,2967
5,YHB,3205.0,2000,2564
5,YJC,3050.0,3000,2459
5,YNC,2404.0,2724,2791
5,YSD,2850.0,2698,2280
6,Y0M,2039.0,1800,1797
6,YCA,2533.0,2500,2856
6,YHB,3086.0,2000,2469
6,YJC,2958.0,2309,2367
6,YNC,3068.0,2842,2687
6,YSD,2351.0,1939,2195
7,Y0M,1897.0,1500,1518
7,YCA,2956.0,2400,2530
7,YHB,4521.0,2500,3628
7,YJC,2825.0,1500,2422
7,YNC,3887.0,3000,3244
7,YSD,2096.0,2652,2505
8,Y0M,1309.0,1500,1518
8,YCA,3162.0,2800,2530
8,YHB,3582.0,3255,3628
8,YJC,2950.0,3000,2422
8,YNC,2939.0,4000,3244
8,YSD,3060.0,2119,2505
9,Y0M,840.0,1500,1464
9,YCA,3042.0,2300,2439
9,YHB,3027.0,5000,3498
9,YJC,2918.0,2680,2335
9,YNC,3065.0,2615,3127
9,YSD,2508.0,2655,2415
10,Y0M,484.0,1000,1012
10,YCA,2981.0,2500,2598
10,YHB,2187.0,3087,3281
10,YJC,1448.0,2900,2717
10,YNC,2434.0,2803,2710
10,YSD,2044.0,1923,2092
11,Y0M,544.0,1000,1012
11,YCA,2856.0,2500,2598
11,YHB,1544.0,3500,3281
11,YJC,1138.0,3200,2717
11,YNC,1988.0,2727,2710
11,YSD,2446.0,1958,2092
12,Y0M,295.0,1000,976
12,YCA,1415.0,2700,2505
12,YHB,1678.0,3138,3163
12,YJC,820.0,1955,2620
12,YNC,969.0,2503,2613
12,YSD,1124.0,2319,2017
