Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1606.0,1500,1287
1,YCA,1541.0,3000,1942
1,YHB,2387.0,3928,2650
1,YJC,2214.0,3000,1860
1,YNC,1708.0,2868,2105
1,YSD,1943.0,2213,1555
2,Y0M,2417.0,1800,1935
2,YCA,2260.0,2100,2920
2,YHB,3918.0,3583,3984
2,YJC,3364.0,2700,2796
2,YNC,2463.0,2828,3166
2,YSD,2922.0,2174,2338
3,Y0M,2595.0,2000,2079
3,YCA,2396.0,2900,3138
3,YHB,3695.0,3402,4280
3,YJC,3566.0,1960,3004
3,YNC,3576.0,2976,3401
3,YSD,2242.0,2017,2512
4,Y0M,2381.0,2300,1936
4,YCA,2616.0,3200,3077
4,YHB,3321.0,3693,2660
4,YJC,3187.0,2067,2550
4,YNC,2983.0,2806,2895
4,YSD,2779.0,2203,2365
5,Y0M,2086.0,1500,1867
5,YCA,2736.0,3200,2967
5,YHB,3205.0,2000,2564
5,YJC,3005.0,3000,2459
5,YNC,2450.0,2724,2791
5,YSD,2835.0,2698,2280
6,Y0M,1666.0,1800,1797
6,YCA,2976.0,2500,2856
6,YHB,3086.0,2000,2469
6,YJC,2958.0,2309,2367
6,YNC,3025.0,2842,2687
6,YSD,2161.0,1939,2195
7,Y0M,1606.0,1500,1518
7,YCA,3151.0,2400,2530
7,YHB,4229.0,2500,3628
7,YJC,2760.0,1500,2422
7,YNC,3997.0,3000,3244
7,YSD,1591.0,2652,2505
8,Y0M,1237.0,1500,1518
8,YCA,3162.0,2800,2530
8,YHB,3466.0,3255,3628
8,YJC,2905.0,3000,2422
8,YNC,2727.0,4000,3244
8,YSD,3131.0,2119,2505
9,Y0M,943.0,1500,1464
9,YCA,2965.0,2300,2439
9,YHB,2820.0,5000,3498
9,YJC,2611.0,2680,2335
9,YNC,2641.0,2615,3127
9,YSD,2956.0,2655,2415
10,Y0M,758.0,1000,1012
10,YCA,2922.0,2500,2598
10,YHB,3094.0,3087,3281
10,YJC,1301.0,2900,2717
10,YNC,3382.0,2803,2710
10,YSD,1745.0,1923,2092
11,Y0M,706.0,1000,1012
11,YCA,2956.0,2500,2598
11,YHB,3225.0,3500,3281
11,YJC,867.0,3200,2717
11,YNC,3387.0,2727,2710
11,YSD,1716.0,1958,2092
12,Y0M,400.0,1000,976
12,YCA,2419.0,2700,2505
12,YHB,2640.0,3138,3163
12,YJC,1531.0,1955,2620
12,YNC,2354.0,2503,2613
12,YSD,850.0,2319,2017
