Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1794.0,1500,1808
1,YCA,2703.0,3000,2730
1,YHB,3687.0,3928,3724
1,YJC,2588.0,3000,2614
1,YNC,2930.0,2868,2959
1,YSD,2164.0,2213,2185
2,Y0M,1767.0,1800,1683
2,YCA,2519.0,2100,2541
2,YHB,3433.0,3583,3466
2,YJC,2410.0,2700,2433
2,YNC,2733.0,2828,2754
2,YSD,2014.0,2174,2034
3,Y0M,1821.0,2000,1808
3,YCA,2703.0,2900,2730
3,YHB,3687.0,3402,3724
3,YJC,2588.0,1960,2614
3,YNC,2946.0,2976,2959
3,YSD,2193.0,2017,2185
4,Y0M,1917.0,2300,1936
4,YCA,3047.0,3200,3077
4,YHB,2793.0,3693,2660
4,YJC,2595.0,2067,2550
4,YNC,2869.0,2806,2895
4,YSD,2385.0,2203,2365
5,Y0M,1849.0,1500,1867
5,YCA,2946.0,3200,2967
5,YHB,2539.0,2000,2564
5,YJC,2435.0,3000,2459
5,YNC,2822.0,2724,2791
5,YSD,2394.0,2698,2280
6,Y0M,1780.0,1800,1797
6,YCA,2828.0,2500,2856
6,YHB,2521.0,2000,2469
6,YJC,2347.0,2309,2367
6,YNC,2661.0,2842,2687
6,YSD,2196.0,1939,2195
7,Y0M,1503.0,1500,1518
7,YCA,2656.0,2400,2530
7,YHB,3592.0,2500,3628
7,YJC,2398.0,1500,2422
7,YNC,3212.0,3000,3244
7,YSD,2480.0,2652,2505
8,Y0M,1503.0,1500,1518
8,YCA,2505.0,2800,2530
8,YHB,3647.0,3255,3628
8,YJC,2454.0,3000,2422
8,YNC,3366.0,4000,3244
8,YSD,2480.0,2119,2505
9,Y0M,1450.0,1500,1464
9,YCA,2415.0,2300,2439
9,YHB,3557.0,5000,3498
9,YJC,2317.0,2680,2335
9,YNC,3096.0,2615,3127
9,YSD,2393.0,2655,2415
10,Y0M,1503.0,1500,1518
10,YCA,2575.0,2500,2598
10,YHB,3249.0,3087,3281
10,YJC,2692.0,2900,2717
10,YNC,2785.0,2803,2710
10,YSD,2072.0,1923,2092
11,Y0M,1503.0,1500,1518
11,YCA,2724.0,2500,2598
11,YHB,3249.0,3500,3281
11,YJC,2852.0,3200,2717
11,YNC,2686.0,2727,2710
11,YSD,2095.0,1958,2092
12,Y0M,1509.0,1500,1464
12,YCA,2480.0,2700,2505
12,YHB,3132.0,3138,3163
12,YJC,2594.0,1955,2620
12,YNC,2587.0,2503,2613
12,YSD,2004.0,2319,2017
