Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,2205.0,1500,1808
1,YCA,2919.0,3000,2730
1,YHB,4649.0,3928,3724
1,YJC,3199.0,3000,2614
1,YNC,3476.0,2868,2959
1,YSD,2393.0,2213,2185
2,Y0M,2082.0,1800,1683
2,YCA,2605.0,2100,2541
2,YHB,4332.0,3583,3466
2,YJC,2455.0,2700,2433
2,YNC,3361.0,2828,2754
2,YSD,2083.0,2174,2034
3,Y0M,2260.0,2000,1808
3,YCA,2853.0,2900,2730
3,YHB,3963.0,3402,3724
3,YJC,3230.0,1960,2614
3,YNC,3396.0,2976,2959
3,YSD,2146.0,2017,2185
4,Y0M,2140.0,2300,1936
4,YCA,2740.0,3200,3077
4,YHB,3325.0,3693,2660
4,YJC,3187.0,2067,2550
4,YNC,3036.0,2806,2895
4,YSD,2609.0,2203,2365
5,Y0M,1837.0,1500,1867
5,YCA,2713.0,3200,2967
5,YHB,3200.0,2000,2564
5,YJC,3068.0,3000,2459
5,YNC,2513.0,2724,2791
5,YSD,2850.0,2698,2280
6,Y0M,1590.0,1800,1797
6,YCA,2665.0,2500,2856
6,YHB,3086.0,2000,2469
6,YJC,2958.0,2309,2367
6,YNC,3112.0,2842,2687
6,YSD,2449.0,1939,2195
7,Y0M,1682.0,1500,1518
7,YCA,2659.0,2400,2530
7,YHB,4223.0,2500,3628
7,YJC,2950.0,1500,2422
7,YNC,3553.0,3000,3244
7,YSD,2440.0,2652,2505
8,Y0M,744.0,1500,1518
8,YCA,2991.0,2800,2530
8,YHB,4114.0,3255,3628
8,YJC,3027.0,3000,2422
8,YNC,2444.0,4000,3244
8,YSD,3111.0,2119,2505
9,Y0M,441.0,1500,1464
9,YCA,3038.0,2300,2439
9,YHB,3520.0,5000,3498
9,YJC,2918.0,2680,2335
9,YNC,2302.0,2615,3127
9,YSD,3018.0,2655,2415
10,Y0M,743.0,1000,856
10,YCA,2496.0,2500,2198
10,YHB,1830.0,3087,2776
10,YJC,1431.0,2900,2300
10,YNC,1746.0,2803,2293
10,YSD,2128.0,1923,1770
11,Y0M,1362.0,1000,1091
11,YCA,2876.0,2500,2801
11,YHB,1819.0,3500,3538
11,YJC,960.0,3200,2930
11,YNC,3652.0,2727,2922
11,YSD,988.0,1958,2255
12,Y0M,1312.0,1000,1052
12,YCA,1545.0,2700,2701
12,YHB,1025.0,3138,3411
12,YJC,888.0,1955,2825
12,YNC,2101.0,2503,2817
12,YSD,654.0,2319,2175
