Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,2666.0,1500,1808
1,YCA,3215.0,3000,2730
1,YHB,2699.0,3928,3724
1,YJC,2822.0,3000,2614
1,YNC,2489.0,2868,2959
1,YSD,3026.0,2213,2185
2,Y0M,2378.0,1800,1683
2,YCA,3107.0,2100,2541
2,YHB,1927.0,3583,3466
2,YJC,2336.0,2700,2433
2,YNC,2320.0,2828,2754
2,YSD,2877.0,2174,2034
3,Y0M,2069.0,2000,1808
3,YCA,3460.0,2900,2730
3,YHB,2199.0,3402,3724
3,YJC,3483.0,1960,2614
3,YNC,3101.0,2976,2959
3,YSD,2619.0,2017,2185
4,Y0M,2001.0,2300,1936
4,YCA,3418.0,5000,3699
4,YHB,2058.0,3693,2660
4,YJC,3825.0,2067,2550
4,YNC,2012.0,2806,2895
4,YSD,3547.0,2203,2365
5,Y0M,2072.0,1500,1867
5,YCA,3486.0,3200,3567
5,YHB,2367.0,2000,2564
5,YJC,3688.0,3000,2459
5,YNC,2018.0,2724,2791
5,YSD,3321.0,2698,2280
6,Y0M,2398.0,1800,1797
6,YCA,3051.0,2500,3434
6,YHB,2977.0,2000,2469
6,YJC,3503.0,2309,2367
6,YNC,3153.0,2842,2687
6,YSD,2267.0,1939,2195
7,Y0M,1576.0,1500,1518
7,YCA,3891.0,2400,3272
7,YHB,3861.0,2500,3628
7,YJC,3228.0,1500,2422
7,YNC,2939.0,3000,3244
7,YSD,2960.0,2652,2505
8,Y0M,986.0,1500,1518
8,YCA,3891.0,5000,3272
8,YHB,5203.0,3255,3628
8,YJC,1699.0,3000,2422
8,YNC,4426.0,4000,3244
8,YSD,1432.0,2119,2505
9,Y0M,1004.0,1500,1464
9,YCA,3751.0,2300,3155
9,YHB,5247.0,5000,3498
9,YJC,1357.0,2680,2335
9,YNC,4238.0,2615,3127
9,YSD,1241.0,2655,2415
10,Y0M,1013.0,1500,1518
10,YCA,3897.0,5000,4723
10,YHB,4562.0,3087,3281
10,YJC,1426.0,2900,2717
10,YNC,3385.0,2803,2710
10,YSD,1243.0,1923,2092
11,Y0M,1004.0,1500,1518
11,YCA,3891.0,5000,4723
11,YHB,4119.0,3500,3281
11,YJC,1465.0,3200,2717
11,YNC,3127.0,2727,2710
11,YSD,1328.0,1958,2092
12,Y0M,732.0,1500,1464
12,YCA,3342.0,4000,4554
12,YHB,1867.0,3138,3163
12,YJC,1438.0,1955,2620
12,YNC,1485.0,2503,2613
12,YSD,1009.0,2319,2017
