Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1770.0,1500,1808
1,YCA,3412.0,3000,2730
1,YHB,4655.0,3928,3724
1,YJC,1897.0,3000,2614
1,YNC,3698.0,2868,2959
1,YSD,2434.0,2213,2185
2,Y0M,1650.0,1800,1683
2,YCA,3172.0,2100,2541
2,YHB,4332.0,3583,3466
2,YJC,2864.0,2700,2433
2,YNC,3174.0,2828,2754
2,YSD,2448.0,2174,2034
3,Y0M,1770.0,2000,1808
3,YCA,3412.0,2900,2730
3,YHB,3390.0,3402,3724
3,YJC,3151.0,1960,2614
3,YNC,3681.0,2976,2959
3,YSD,2478.0,2017,2185
4,Y0M,1670.0,2300,1936
4,YCA,3332.0,5000,3699
4,YHB,2603.0,3693,2660
4,YJC,3180.0,2067,2550
4,YNC,2858.0,2806,2895
4,YSD,2955.0,2203,2365
5,Y0M,1608.0,1500,1867
5,YCA,3214.0,3200,3567
5,YHB,2765.0,2000,2564
5,YJC,3073.0,3000,2459
5,YNC,2489.0,2724,2791
5,YSD,2850.0,2698,2280
6,Y0M,1546.0,1800,1797
6,YCA,3096.0,2500,3434
6,YHB,3074.0,2000,2469
6,YJC,2958.0,2309,2367
6,YNC,3358.0,2842,2687
6,YSD,2095.0,1939,2195
7,Y0M,1666.0,1500,1518
7,YCA,3336.0,2400,3272
7,YHB,4526.0,2500,3628
7,YJC,3027.0,1500,2422
7,YNC,4055.0,3000,3244
7,YSD,1754.0,2652,2505
8,Y0M,1666.0,1500,1518
8,YCA,3336.0,5000,3272
8,YHB,4288.0,3255,3628
8,YJC,2413.0,3000,2422
8,YNC,2804.0,4000,3244
8,YSD,2911.0,2119,2505
9,Y0M,1606.0,1500,1464
9,YCA,3216.0,2300,3155
9,YHB,2621.0,5000,3498
9,YJC,2022.0,2680,2335
9,YNC,2591.0,2615,3127
9,YSD,2423.0,2655,2415
10,Y0M,1669.0,1500,1518
10,YCA,3341.0,5000,4723
10,YHB,2304.0,3087,3281
10,YJC,1949.0,2900,2717
10,YNC,2204.0,2803,2710
10,YSD,1640.0,1923,2092
11,Y0M,1666.0,1500,1518
11,YCA,3336.0,5000,4723
11,YHB,2313.0,3500,3281
11,YJC,1902.0,3200,2717
11,YNC,1897.0,2727,2710
11,YSD,1470.0,1958,2092
12,Y0M,1612.0,1500,1464
12,YCA,3225.0,4000,4554
12,YHB,2215.0,3138,3163
12,YJC,1834.0,1955,2620
12,YNC,1884.0,2503,2613
12,YSD,1412.0,2319,2017
