Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,2224.0,1500,1808
1,YCA,3053.0,3000,2730
1,YHB,2180.0,3928,3724
1,YJC,2958.0,3000,2614
1,YNC,1539.0,2868,2959
1,YSD,3277.0,2213,2185
2,Y0M,1708.0,1800,1683
2,YCA,3060.0,2100,2541
2,YHB,1740.0,3583,3466
2,YJC,3265.0,2700,2433
2,YNC,2103.0,2828,2754
2,YSD,2742.0,2174,2034
3,Y0M,2351.0,2000,1808
3,YCA,2560.0,2900,2730
3,YHB,3236.0,3402,3724
3,YJC,3546.0,1960,2614
3,YNC,2475.0,2976,2959
3,YSD,2909.0,2017,2185
4,Y0M,2428.0,2300,1936
4,YCA,2379.0,5000,3699
4,YHB,2958.0,3693,2660
4,YJC,3534.0,2067,2550
4,YNC,2075.0,2806,2895
4,YSD,3051.0,2203,2365
5,Y0M,2067.0,1500,1867
5,YCA,2626.0,3200,3567
5,YHB,2686.0,2000,2564
5,YJC,3545.0,3000,2459
5,YNC,2254.0,2724,2791
5,YSD,3037.0,2698,2280
6,Y0M,2012.0,1800,1797
6,YCA,2544.0,2500,3434
6,YHB,3134.0,2000,2469
6,YJC,2794.0,2309,2367
6,YNC,3824.0,2842,2687
6,YSD,1629.0,1939,2195
7,Y0M,1273.0,1500,1518
7,YCA,3597.0,2400,2530
7,YHB,3150.0,2500,3628
7,YJC,2969.0,1500,2422
7,YNC,4711.0,3000,3244
7,YSD,1253.0,2652,2505
8,Y0M,1028.0,1500,1518
8,YCA,3794.0,2800,2530
8,YHB,4709.0,3255,3628
8,YJC,1865.0,3000,2422
8,YNC,4261.0,4000,3244
8,YSD,1548.0,2119,2505
9,Y0M,983.0,1500,1464
9,YCA,3658.0,2300,2439
9,YHB,5242.0,5000,3498
9,YJC,1386.0,2680,2335
9,YNC,3779.0,2615,3127
9,YSD,1871.0,2655,2415
10,Y0M,1027.0,1500,1518
10,YCA,3897.0,5000,3880
10,YHB,4173.0,3087,3281
10,YJC,1455.0,2900,2717
10,YNC,3097.0,2803,2710
10,YSD,2373.0,1923,2092
11,Y0M,1159.0,1500,1518
11,YCA,3891.0,2500,3880
11,YHB,3795.0,3500,3281
11,YJC,1585.0,3200,2717
11,YNC,3090.0,2727,2710
11,YSD,2171.0,1958,2092
12,Y0M,1639.0,1500,1464
12,YCA,2642.0,4000,3741
12,YHB,2083.0,3138,3163
12,YJC,1368.0,1955,2620
12,YNC,1485.0,2503,2613
12,YSD,1009.0,2319,2017
