Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,2524.0,1500,1808
1,YCA,2815.0,3000,2730
1,YHB,1983.0,3928,3724
1,YJC,2310.0,3000,2614
1,YNC,3967.0,2868,2959
1,YSD,1638.0,2213,2185
2,Y0M,1697.0,1800,1683
2,YCA,3290.0,2100,2541
2,YHB,1872.0,3583,3466
2,YJC,2308.0,2700,2433
2,YNC,3641.0,2828,2754
2,YSD,1706.0,2174,2034
3,Y0M,1137.0,2000,1808
3,YCA,3981.0,2900,2730
3,YHB,2202.0,3402,3724
3,YJC,3648.0,1960,2614
3,YNC,3216.0,2976,2959
3,YSD,2608.0,2017,2185
4,Y0M,1268.0,2300,1936
4,YCA,3851.0,3200,3077
4,YHB,2353.0,3693,2660
4,YJC,3825.0,2067,2550
4,YNC,2064.0,2806,2895
4,YSD,3332.0,2203,2365
5,Y0M,1421.0,1500,1867
5,YCA,3338.0,3200,2967
5,YHB,2498.0,2000,2564
5,YJC,3688.0,3000,2459
5,YNC,1780.0,2724,2791
5,YSD,3147.0,2698,2280
6,Y0M,1525.0,1800,1797
6,YCA,2983.0,2500,2856
6,YHB,2959.0,2000,2469
6,YJC,2816.0,2309,2367
6,YNC,2726.0,2842,2687
6,YSD,2316.0,1939,2195
7,Y0M,920.0,1500,1518
7,YCA,3549.0,2400,2530
7,YHB,3563.0,2500,3628
7,YJC,3412.0,1500,2422
7,YNC,2910.0,3000,3244
7,YSD,2749.0,2652,2505
8,Y0M,1625.0,1500,1518
8,YCA,2386.0,2800,2530
8,YHB,3792.0,3255,3628
8,YJC,2462.0,3000,2422
8,YNC,4254.0,4000,3244
8,YSD,1700.0,2119,2505
9,Y0M,2192.0,1500,1464
9,YCA,1612.0,2300,2439
9,YHB,4576.0,5000,3498
9,YJC,1171.0,2680,2335
9,YNC,4254.0,2615,3127
9,YSD,1352.0,2655,2415
10,Y0M,1509.0,1000,1012
10,YCA,1299.0,2500,2598
10,YHB,4894.0,3087,3281
10,YJC,1545.0,2900,2717
10,YNC,2534.0,2803,2710
10,YSD,2490.0,1923,2092
11,Y0M,1156.0,1000,1012
11,YCA,1515.0,2500,2598
11,YHB,4643.0,3500,3281
11,YJC,1620.0,3200,2717
11,YNC,2027.0,2727,2710
11,YSD,2803.0,1958,2092
12,Y0M,1425.0,1000,976
12,YCA,1482.0,2700,2505
12,YHB,3751.0,3138,3163
12,YJC,1465.0,1955,2620
12,YNC,1320.0,2503,2613
12,YSD,1029.0,2319,2017
