Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1726.0,1500,1808
1,YCA,2878.0,3000,3071
1,YHB,4655.0,3928,3724
1,YJC,3267.0,3000,2614
1,YNC,3488.0,2868,2959
1,YSD,2346.0,2213,2185
2,Y0M,1606.0,1800,1683
2,YCA,2678.0,2100,2858
2,YHB,4332.0,3583,3466
2,YJC,3037.0,2700,2433
2,YNC,2911.0,2828,2754
2,YSD,2505.0,2174,2034
3,Y0M,1726.0,2000,1808
3,YCA,2878.0,3900,3071
3,YHB,4016.0,3402,3724
3,YJC,3070.0,1960,2614
3,YNC,2873.0,2976,2959
3,YSD,2731.0,2017,2185
4,Y0M,1666.0,2300,1912
4,YCA,2778.0,3200,3039
4,YHB,3283.0,3693,2627
4,YJC,3121.0,2067,2519
4,YNC,2828.0,2806,2859
4,YSD,2850.0,2203,2336
5,Y0M,1606.0,1500,1912
5,YCA,2778.0,3200,3039
5,YHB,3024.0,2000,2627
5,YJC,3148.0,3000,2519
5,YNC,2723.0,2724,2859
5,YSD,2915.0,2698,2336
6,Y0M,1546.0,1800,1775
6,YCA,2578.0,2500,2821
6,YHB,3047.0,2000,2439
6,YJC,2752.0,2309,2338
6,YNC,3135.0,2842,2654
6,YSD,2159.0,1939,2168
7,Y0M,1666.0,1500,1518
7,YCA,2778.0,2400,2868
7,YHB,3887.0,2500,3628
7,YJC,2989.0,1500,2422
7,YNC,3736.0,3000,3244
7,YSD,2016.0,2652,2505
8,Y0M,1665.0,1500,1518
8,YCA,2778.0,2800,2868
8,YHB,4126.0,3255,3628
8,YJC,2991.0,3000,2422
8,YNC,3094.0,4000,3244
8,YSD,2588.0,2119,2505
9,Y0M,1558.0,1500,1464
9,YCA,2678.0,3300,2765
9,YHB,3446.0,5000,3498
9,YJC,2841.0,2680,2335
9,YNC,3907.0,2615,3127
9,YSD,1547.0,2655,2415
10,Y0M,1265.0,1000,1012
10,YCA,2783.0,2500,2935
10,YHB,2330.0,3087,3281
10,YJC,1291.0,2900,2717
10,YNC,3079.0,2803,2710
10,YSD,1817.0,1923,2092
11,Y0M,1265.0,1000,1012
11,YCA,2778.0,3500,2935
11,YHB,1907.0,3500,3281
11,YJC,942.0,3200,2717
11,YNC,2134.0,2727,2710
11,YSD,2405.0,1958,2092
12,Y0M,1103.0,1000,976
12,YCA,2687.0,2700,2830
12,YHB,1033.0,3138,3163
12,YJC,821.0,1955,2620
12,YNC,784.0,2503,2613
12,YSD,991.0,2319,2017
