Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1919.0,1500,1808
1,YCA,2912.0,3000,2730
1,YHB,2909.0,3928,3724
1,YJC,3136.0,3000,2614
1,YNC,3078.0,2868,2959
1,YSD,2318.0,2213,2185
2,Y0M,2012.0,1800,1683
2,YCA,2629.0,2100,2541
2,YHB,3303.0,3583,3466
2,YJC,2918.0,2700,2433
2,YNC,3232.0,2828,2754
2,YSD,2046.0,2174,2034
3,Y0M,1630.0,2000,1808
3,YCA,3276.0,2900,2730
3,YHB,3967.0,3402,3724
3,YJC,2362.0,1960,2614
3,YNC,3198.0,2976,2959
3,YSD,2304.0,2017,2185
4,Y0M,1899.0,2300,1936
4,YCA,3188.0,5000,3699
4,YHB,3192.0,3693,2660
4,YJC,2532.0,2067,2550
4,YNC,2621.0,2806,2895
4,YSD,2837.0,2203,2365
5,Y0M,1913.0,1500,1867
5,YCA,2866.0,3200,3567
5,YHB,3075.0,2000,2564
5,YJC,2772.0,3000,2459
5,YNC,2299.0,2724,2791
5,YSD,2686.0,2698,2280
6,Y0M,1806.0,1800,1797
6,YCA,2659.0,2500,3434
6,YHB,2962.0,2000,2469
6,YJC,2689.0,2309,2367
6,YNC,3022.0,2842,2687
6,YSD,2084.0,1939,2195
7,Y0M,1500.0,1500,1518
7,YCA,3032.0,2400,2530
7,YHB,4082.0,2500,3628
7,YJC,2906.0,1500,2422
7,YNC,3742.0,3000,3244
7,YSD,2041.0,2652,2505
8,Y0M,1066.0,1500,1518
8,YCA,3036.0,2800,2530
8,YHB,4030.0,3255,3628
8,YJC,2538.0,3000,2422
8,YNC,3299.0,4000,3244
8,YSD,2328.0,2119,2505
9,Y0M,1084.0,1500,1464
9,YCA,2925.0,2300,2439
9,YHB,3712.0,5000,3498
9,YJC,1883.0,2680,2335
9,YNC,3752.0,2615,3127
9,YSD,1802.0,2655,2415
10,Y0M,1821.0,1500,1518
10,YCA,2795.0,2500,2598
10,YHB,2674.0,3087,3281
10,YJC,2405.0,2900,2717
10,YNC,2584.0,2803,2710
10,YSD,2500.0,1923,2092
11,Y0M,1819.0,1500,1518
11,YCA,2771.0,2500,2598
11,YHB,2708.0,3500,3281
11,YJC,2253.0,3200,2717
11,YNC,1997.0,2727,2710
11,YSD,2508.0,1958,2092
12,Y0M,1430.0,1500,1464
12,YCA,1812.0,2700,2505
12,YHB,2472.0,3138,3163
12,YJC,1876.0,1955,2620
12,YNC,1869.0,2503,2613
12,YSD,1416.0,2319,2017
