Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,2169.0,1500,1808
1,YCA,3026.0,3000,2730
1,YHB,3992.0,3928,3724
1,YJC,2410.0,3000,2614
1,YNC,3293.0,2868,2959
1,YSD,2578.0,2213,2185
2,Y0M,1723.0,1800,1683
2,YCA,3049.0,2100,2541
2,YHB,3724.0,3583,3466
2,YJC,2469.0,2700,2433
2,YNC,3304.0,2828,2754
2,YSD,1988.0,2174,2034
3,Y0M,1749.0,2000,1808
3,YCA,3272.0,2900,2730
3,YHB,3728.0,3402,3724
3,YJC,2868.0,1960,2614
3,YNC,3177.0,2976,2959
3,YSD,2313.0,2017,2185
4,Y0M,1603.0,2300,1936
4,YCA,3198.0,5000,3699
4,YHB,3189.0,3693,2660
4,YJC,2882.0,2067,2550
4,YNC,2463.0,2806,2895
4,YSD,2837.0,2203,2365
5,Y0M,1841.0,1500,1867
5,YCA,3007.0,3200,3567
5,YHB,3076.0,2000,2564
5,YJC,2805.0,3000,2459
5,YNC,2290.0,2724,2791
5,YSD,2736.0,2698,2280
6,Y0M,1767.0,1800,1797
6,YCA,2823.0,2500,3434
6,YHB,2962.0,2000,2469
6,YJC,2816.0,2309,2367
6,YNC,2500.0,2842,2687
6,YSD,2488.0,1939,2195
7,Y0M,1753.0,1500,1518
7,YCA,3036.0,2400,2530
7,YHB,3717.0,2500,3628
7,YJC,2906.0,1500,2422
7,YNC,3892.0,3000,3244
7,YSD,1757.0,2652,2505
8,Y0M,1738.0,1500,1518
8,YCA,3036.0,2800,2530
8,YHB,3660.0,3255,3628
8,YJC,1965.0,3000,2422
8,YNC,3288.0,4000,3244
8,YSD,2318.0,2119,2505
9,Y0M,1475.0,1500,1464
9,YCA,2925.0,2300,2439
9,YHB,2829.0,5000,3498
9,YJC,2006.0,2680,2335
9,YNC,3748.0,2615,3127
9,YSD,1691.0,2655,2415
10,Y0M,1588.0,1500,1518
10,YCA,3335.0,5000,3441
10,YHB,2635.0,3087,3281
10,YJC,2663.0,2900,2717
10,YNC,2840.0,2803,2710
10,YSD,1720.0,1923,2092
11,Y0M,1464.0,1500,1518
11,YCA,3191.0,2500,3441
11,YHB,2978.0,3500,3281
11,YJC,2644.0,3200,2717
11,YNC,2001.0,2727,2710
11,YSD,2480.0,1958,2092
12,Y0M,1029.0,1500,1464
12,YCA,2502.0,2700,3318
12,YHB,2596.0,3138,3163
12,YJC,1836.0,1955,2620
12,YNC,1897.0,2503,2613
12,YSD,1964.0,2319,2017
