Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1904.0,1500,1808
1,YCA,3421.0,3000,2730
1,YHB,3238.0,3928,3724
1,YJC,3105.0,3000,2614
1,YNC,2003.0,2868,2959
1,YSD,3277.0,2213,2185
2,Y0M,1667.0,1800,1683
2,YCA,3288.0,2100,2541
2,YHB,2660.0,3583,3466
2,YJC,2920.0,2700,2433
2,YNC,2219.0,2828,2754
2,YSD,3047.0,2174,2034
3,Y0M,2003.0,2000,1808
3,YCA,3322.0,2900,2730
3,YHB,2801.0,3402,3724
3,YJC,3599.0,1960,2614
3,YNC,2211.0,2976,2959
3,YSD,3195.0,2017,2185
4,Y0M,2266.0,2300,1936
4,YCA,2872.0,5000,3699
4,YHB,2950.0,3693,2660
4,YJC,3443.0,2067,2550
4,YNC,1994.0,2806,2895
4,YSD,3459.0,2203,2365
5,Y0M,1877.0,1500,1867
5,YCA,3061.0,3200,3567
5,YHB,2852.0,2000,2564
5,YJC,3330.0,3000,2459
5,YNC,2003.0,2724,2791
5,YSD,3314.0,2698,2280
6,Y0M,1930.0,1800,1797
6,YCA,2804.0,2500,3434
6,YHB,3358.0,2000,2469
6,YJC,2809.0,2309,2367
6,YNC,3126.0,2842,2687
6,YSD,2283.0,1939,2195
7,Y0M,1389.0,1500,1518
7,YCA,3682.0,2400,2530
7,YHB,3743.0,2500,3628
7,YJC,2916.0,1500,2422
7,YNC,3509.0,3000,3244
7,YSD,2413.0,2652,2505
8,Y0M,1249.0,1500,1518
8,YCA,3795.0,2800,2530
8,YHB,5119.0,3255,3628
8,YJC,1739.0,3000,2422
8,YNC,4600.0,4000,3244
8,YSD,1270.0,2119,2505
9,Y0M,1204.0,1500,1464
9,YCA,3658.0,2300,2439
9,YHB,5247.0,5000,3498
9,YJC,1552.0,2680,2335
9,YNC,4300.0,2615,3127
9,YSD,1274.0,2655,2415
10,Y0M,1252.0,1500,1518
10,YCA,3897.0,5000,4723
10,YHB,3259.0,3087,3281
10,YJC,1730.0,2900,2717
10,YNC,3807.0,2803,2710
10,YSD,1104.0,1923,2092
11,Y0M,1389.0,1500,1518
11,YCA,3751.0,5000,4723
11,YHB,2135.0,3500,3281
11,YJC,1713.0,3200,2717
11,YNC,3613.0,2727,2710
11,YSD,1046.0,1958,2092
12,Y0M,1769.0,1500,1464
12,YCA,2649.0,4000,4554
12,YHB,1724.0,3138,3163
12,YJC,1414.0,1955,2620
12,YNC,1308.0,2503,2613
12,YSD,1188.0,2319,2017
