Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,2127.0,1500,1808
1,YCA,3136.0,3000,2730
1,YHB,2368.0,3928,3724
1,YJC,2572.0,3000,2614
1,YNC,2346.0,2868,2959
1,YSD,3277.0,2213,2185
2,Y0M,2191.0,1800,1683
2,YCA,2683.0,2100,2541
2,YHB,2170.0,3583,3466
2,YJC,2845.0,2700,2433
2,YNC,2200.0,2828,2754
2,YSD,2663.0,2174,2034
3,Y0M,2237.0,2000,1808
3,YCA,2928.0,2900,2730
3,YHB,2970.0,3402,3724
3,YJC,3576.0,1960,2614
3,YNC,2561.0,2976,2959
3,YSD,2763.0,2017,2185
4,Y0M,2669.0,2300,1936
4,YCA,2153.0,5000,3699
4,YHB,2989.0,3693,2660
4,YJC,3785.0,2067,2550
4,YNC,2171.0,2806,2895
4,YSD,3326.0,2203,2365
5,Y0M,2450.0,1500,1867
5,YCA,2180.0,3200,3567
5,YHB,2931.0,2000,2564
5,YJC,3574.0,3000,2459
5,YNC,2116.0,2724,2791
5,YSD,3397.0,2698,2280
6,Y0M,2509.0,1800,1797
6,YCA,2120.0,2500,3434
6,YHB,3124.0,2000,2469
6,YJC,3236.0,2309,2367
6,YNC,3539.0,2842,2687
6,YSD,1630.0,1939,2195
7,Y0M,1657.0,1500,1518
7,YCA,3235.0,2400,2530
7,YHB,3702.0,2500,3628
7,YJC,3168.0,1500,2422
7,YNC,4284.0,3000,3244
7,YSD,1258.0,2652,2505
8,Y0M,874.0,1500,1518
8,YCA,3566.0,2800,2530
8,YHB,5018.0,3255,3628
8,YJC,1640.0,3000,2422
8,YNC,4312.0,4000,3244
8,YSD,1417.0,2119,2505
9,Y0M,735.0,1500,1464
9,YCA,3197.0,2300,2439
9,YHB,5216.0,5000,3498
9,YJC,1176.0,2680,2335
9,YNC,4222.0,2615,3127
9,YSD,1386.0,2655,2415
10,Y0M,814.0,1500,1518
10,YCA,3181.0,2500,3036
10,YHB,3727.0,3087,3281
10,YJC,1467.0,2900,2717
10,YNC,2853.0,2803,2710
10,YSD,2126.0,1923,2092
11,Y0M,877.0,1500,1518
11,YCA,3320.0,2500,3036
11,YHB,3167.0,3500,3281
11,YJC,1625.0,3200,2717
11,YNC,2349.0,2727,2710
11,YSD,2538.0,1958,2092
12,Y0M,759.0,1500,1464
12,YCA,3500.0,4000,2927
12,YHB,1704.0,3138,3163
12,YJC,1606.0,1955,2620
12,YNC,1740.0,2503,2613
12,YSD,1089.0,2319,2017
