Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,2148.0,1500,1808
1,YCA,2050.0,3000,2730
1,YHB,4091.0,3928,3724
1,YJC,2428.0,3000,2614
1,YNC,3698.0,2868,2959
1,YSD,1963.0,2213,2185
2,Y0M,1800.0,1800,1683
2,YCA,2095.0,2100,2541
2,YHB,3766.0,3583,3466
2,YJC,2234.0,2700,2433
2,YNC,3437.0,2828,2754
2,YSD,2057.0,2174,2034
3,Y0M,1910.0,2000,1808
3,YCA,3355.0,2900,2730
3,YHB,3219.0,3402,3724
3,YJC,2974.0,1960,2614
3,YNC,3293.0,2976,2959
3,YSD,2552.0,2017,2185
4,Y0M,1658.0,2300,1936
4,YCA,3407.0,3200,3077
4,YHB,3204.0,3693,2660
4,YJC,3110.0,2067,2550
4,YNC,2820.0,2806,2895
4,YSD,2737.0,2203,2365
5,Y0M,1646.0,1500,1867
5,YCA,3110.0,3200,2967
5,YHB,2633.0,2000,2564
5,YJC,3073.0,3000,2459
5,YNC,2448.0,2724,2791
5,YSD,2634.0,2698,2280
6,Y0M,1697.0,1800,1797
6,YCA,2295.0,2500,2856
6,YHB,2307.0,2000,2469
6,YJC,2958.0,2309,2367
6,YNC,2883.0,2842,2687
6,YSD,1960.0,1939,2195
7,Y0M,1880.0,1500,1518
7,YCA,2995.0,2400,2530
7,YHB,3071.0,2500,3628
7,YJC,2820.0,1500,2422
7,YNC,3692.0,3000,3244
7,YSD,1879.0,2652,2505
8,Y0M,1452.0,1500,1518
8,YCA,2799.0,2800,2530
8,YHB,4535.0,3255,3628
8,YJC,2203.0,3000,2422
8,YNC,3143.0,4000,3244
8,YSD,2109.0,2119,2505
9,Y0M,1252.0,1500,1464
9,YCA,2537.0,2300,2439
9,YHB,4371.0,5000,3498
9,YJC,1776.0,2680,2335
9,YNC,2614.0,2615,3127
9,YSD,2158.0,2655,2415
10,Y0M,866.0,1000,1012
10,YCA,2629.0,2500,2598
10,YHB,2716.0,3087,3281
10,YJC,2259.0,2900,2717
10,YNC,2249.0,2803,2710
10,YSD,2613.0,1923,2092
11,Y0M,870.0,1000,1012
11,YCA,2747.0,2500,2598
11,YHB,2789.0,3500,3281
11,YJC,2395.0,3200,2717
11,YNC,2449.0,2727,2710
11,YSD,2614.0,1958,2092
12,Y0M,1220.0,1000,976
12,YCA,2082.0,2700,2505
12,YHB,2384.0,3138,3163
12,YJC,2040.0,1955,2620
12,YNC,1967.0,2503,2613
12,YSD,1594.0,2319,2017
