Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1745.0,1500,1808
1,YCA,3437.0,3000,2730
1,YHB,2780.0,3928,3724
1,YJC,1521.0,3000,2614
1,YNC,2425.0,2868,2959
1,YSD,3277.0,2213,2185
2,Y0M,1624.0,1800,1683
2,YCA,3198.0,2100,2541
2,YHB,2889.0,3583,3466
2,YJC,2314.0,2700,2433
2,YNC,2507.0,2828,2754
2,YSD,3051.0,2174,2034
3,Y0M,1741.0,2000,1808
3,YCA,3441.0,2900,2730
3,YHB,3586.0,3402,3724
3,YJC,3900.0,1960,2614
3,YNC,2776.0,2976,2959
3,YSD,3277.0,2017,2185
4,Y0M,1678.0,2300,1936
4,YCA,3324.0,5000,3699
4,YHB,3641.0,3693,2660
4,YJC,3624.0,2067,2550
4,YNC,2313.0,2806,2895
4,YSD,3547.0,2203,2365
5,Y0M,1619.0,1500,1867
5,YCA,3203.0,3200,3567
5,YHB,3662.0,2000,2564
5,YJC,3688.0,3000,2459
5,YNC,2075.0,2724,2791
5,YSD,3420.0,2698,2280
6,Y0M,1560.0,1800,1797
6,YCA,3082.0,2500,3434
6,YHB,3267.0,2000,2469
6,YJC,3549.0,2309,2367
6,YNC,3152.0,2842,2687
6,YSD,2322.0,1939,2195
7,Y0M,1677.0,1500,1518
7,YCA,3325.0,2400,3272
7,YHB,3922.0,2500,3628
7,YJC,3633.0,1500,2422
7,YNC,3681.0,3000,3244
7,YSD,2123.0,2652,2505
8,Y0M,1676.0,1500,1518
8,YCA,3326.0,5000,3272
8,YHB,4246.0,3255,3628
8,YJC,2231.0,3000,2422
8,YNC,4368.0,4000,3244
8,YSD,1253.0,2119,2505
9,Y0M,1614.0,1500,1464
9,YCA,3208.0,2300,3155
9,YHB,3968.0,5000,3498
9,YJC,1173.0,2680,2335
9,YNC,3596.0,2615,3127
9,YSD,1472.0,2655,2415
10,Y0M,1677.0,1500,1518
10,YCA,3333.0,5000,4723
10,YHB,3045.0,3087,3281
10,YJC,1360.0,2900,2717
10,YNC,3201.0,2803,2710
10,YSD,1046.0,1923,2092
11,Y0M,1674.0,1500,1518
11,YCA,3328.0,5000,4723
11,YHB,2496.0,3500,3281
11,YJC,1675.0,3200,2717
11,YNC,3168.0,2727,2710
11,YSD,1073.0,1958,2092
12,Y0M,1612.0,1500,1464
12,YCA,3225.0,4000,4554
12,YHB,1584.0,3138,3163
12,YJC,1602.0,1955,2620
12,YNC,1431.0,2503,2613
12,YSD,1009.0,2319,2017
