Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1596.0,1500,1808
1,YCA,1778.0,3000,2730
1,YHB,2598.0,3928,3724
1,YJC,2750.0,3000,2614
1,YNC,1629.0,2868,2959
1,YSD,2659.0,2213,2185
2,Y0M,1627.0,1800,1683
2,YCA,2565.0,2100,2541
2,YHB,2178.0,3583,3466
2,YJC,3219.0,2700,2433
2,YNC,2168.0,2828,2754
2,YSD,2357.0,2174,2034
3,Y0M,1625.0,2000,1808
3,YCA,3336.0,2900,2730
3,YHB,3536.0,3402,3724
3,YJC,3557.0,1960,2614
3,YNC,2512.0,2976,2959
3,YSD,2971.0,2017,2185
4,Y0M,1882.0,2300,1936
4,YCA,3427.0,3200,3077
4,YHB,3887.0,3693,2660
4,YJC,3449.0,2067,2550
4,YNC,2305.0,2806,2895
4,YSD,3084.0,2203,2365
5,Y0M,2114.0,1500,1867
5,YCA,3293.0,3200,2967
5,YHB,3570.0,2000,2564
5,YJC,3424.0,3000,2459
5,YNC,2117.0,2724,2791
5,YSD,3121.0,2698,2280
6,Y0M,1560.0,1800,1797
6,YCA,3455.0,2500,2856
6,YHB,3594.0,2000,2469
6,YJC,2640.0,2309,2367
6,YNC,3352.0,2842,2687
6,YSD,1826.0,1939,2195
7,Y0M,874.0,1500,1518
7,YCA,3795.0,2400,2530
7,YHB,3689.0,2500,3628
7,YJC,3193.0,1500,2422
7,YNC,4338.0,3000,3244
7,YSD,1362.0,2652,2505
8,Y0M,1552.0,1500,1518
8,YCA,3316.0,2800,2530
8,YHB,3973.0,3255,3628
8,YJC,2019.0,3000,2422
8,YNC,4320.0,4000,3244
8,YSD,1679.0,2119,2505
9,Y0M,2045.0,1500,1464
9,YCA,2466.0,2300,2439
9,YHB,4299.0,5000,3498
9,YJC,1405.0,2680,2335
9,YNC,3706.0,2615,3127
9,YSD,2049.0,2655,2415
10,Y0M,1518.0,1000,1012
10,YCA,1559.0,2500,2598
10,YHB,3401.0,3087,3281
10,YJC,1528.0,2900,2717
10,YNC,3270.0,2803,2710
10,YSD,2384.0,1923,2092
11,Y0M,1518.0,1000,1012
11,YCA,1651.0,2500,2598
11,YHB,2747.0,3500,3281
11,YJC,1507.0,3200,2717
11,YNC,3248.0,2727,2710
11,YSD,2277.0,1958,2092
12,Y0M,488.0,1000,976
12,YCA,1460.0,2700,2505
12,YHB,1614.0,3138,3163
12,YJC,1579.0,1955,2620
12,YNC,1728.0,2503,2613
12,YSD,1101.0,2319,2017
