Month,Product,Optimized Plan quantity,Sale Demand,normalized_quantity
1,Y0M,1969.0,1500,1808
1,YCA,3456.0,3000,2730
1,YHB,2498.0,3928,3724
1,YJC,2631.0,3000,2614
1,YNC,3555.0,2868,2959
1,YSD,2312.0,2213,2185
2,Y0M,1786.0,1800,1683
2,YCA,3216.0,2100,2541
2,YHB,2316.0,3583,3466
2,YJC,2521.0,2700,2433
2,YNC,2998.0,2828,2754
2,YSD,2200.0,2174,2034
3,Y0M,1516.0,2000,1808
3,YCA,3456.0,2900,2730
3,YHB,3640.0,3402,3724
3,YJC,3240.0,1960,2614
3,YNC,2684.0,2976,2959
3,YSD,2840.0,2017,2185
4,Y0M,1109.0,2300,1936
4,YCA,3336.0,5000,3699
4,YHB,3529.0,3693,2660
4,YJC,3538.0,2067,2550
4,YNC,2329.0,2806,2895
4,YSD,2954.0,2203,2365
5,Y0M,1494.0,1500,1867
5,YCA,3216.0,3200,3567
5,YHB,3067.0,2000,2564
5,YJC,3678.0,3000,2459
5,YNC,2151.0,2724,2791
5,YSD,2981.0,2698,2280
6,Y0M,1917.0,1800,1797
6,YCA,3096.0,2500,3434
6,YHB,2968.0,2000,2469
6,YJC,3382.0,2309,2367
6,YNC,3408.0,2842,2687
6,YSD,1650.0,1939,2195
7,Y0M,2055.0,1500,1518
7,YCA,3336.0,2400,3272
7,YHB,3448.0,2500,3628
7,YJC,3633.0,1500,2422
7,YNC,4318.0,3000,3244
7,YSD,1254.0,2652,2505
8,Y0M,2053.0,1500,1518
8,YCA,3336.0,5000,3272
8,YHB,4744.0,3255,3628
8,YJC,1805.0,3000,2422
8,YNC,3772.0,4000,3244
8,YSD,2131.0,2119,2505
9,Y0M,1924.0,1500,1464
9,YCA,3216.0,2300,3155
9,YHB,4996.0,5000,3498
9,YJC,1381.0,2680,2335
9,YNC,2895.0,2615,3127
9,YSD,2867.0,2655,2415
10,Y0M,1666.0,1500,1518
10,YCA,3341.0,5000,4723
10,YHB,3312.0,3087,3281
10,YJC,1369.0,2900,2717
10,YNC,2415.0,2803,2710
10,YSD,2660.0,1923,2092
11,Y0M,1597.0,1500,1518
11,YCA,3336.0,5000,4723
11,YHB,2978.0,3500,3281
11,YJC,1530.0,3200,2717
11,YNC,2776.0,2727,2710
11,YSD,1968.0,1958,2092
12,Y0M,813.0,1500,1464
12,YCA,3225.0,4000,4554
12,YHB,1590.0,3138,3163
12,YJC,1562.0,1955,2620
12,YNC,1392.0,2503,2613
12,YSD,1053.0,2319,2017
